#,Código,Endereço,Bairro,Latitude,Longitude,Foto,Croqui
2430,JAR-124,"Avenida Presidente Affonso Camargo, 2853 - Jardim Botânico",Jardim Botânico,"-25,4417097","-49,2342647",Ver foto,ver croqui
2431,CRI-053,"Rua Urbâno Lopes, 483 - Cristo Rei",Cristo Rei,"-25,4416319","-49,2347897",Ver foto,ver croqui
2432,CRI-054,"Rua Urbâno Lopes, 470 - Cristo Rei",Cristo Rei,"-25,441615","-49,2354469",Ver foto,ver croqui
2433,JAR-125,"Avenida Presidente Affonso Camargo, 2607 - Jardim Botânico",Jardim Botânico,"-25,4412783","-49,2360369",Ver foto,ver croqui
2434,CRI-055,"Avenida Presidente Affonso Camargo, 2583 - Cristo Rei",Cristo Rei,"-25,4409658","-49,2362676",Ver foto,ver croqui
2435,CRI-056,"Avenida Presidente Affonso Camargo, 2563 - Cristo Rei",Cristo Rei,"-25,4407333","-49,2364634",Ver foto,ver croqui
2436,CRI-057,"Rua Guilherme Born, 16 - Cristo Rei",Cristo Rei,"-25,4411305","-49,2350982",Ver foto,ver croqui
2437,CRI-058,"Rua Guilherme Born, 61 - Cristo Rei",Cristo Rei,"-25,4408641","-49,2346476",Ver foto,ver croqui
2438,CRI-059,"Rua Guilherme Born, 90 - Cristo Rei",Cristo Rei,"-25,4406437","-49,234315",Ver foto,ver croqui
2439,CRI-060,"Avenida Nossa Senhora da Penha, 423 - Cristo Rei",Cristo Rei,"-25,4401811","-49,2343784",Ver foto,ver croqui
2440,CRI-061,"Rua Urbâno Lopes, 335 - Cristo Rei",Cristo Rei,"-25,4402513","-49,2356256",Ver foto,ver croqui
2441,CRI-062,"Rua Major Antônio Gomes Ferreira, 75 - Cristo Rei",Cristo Rei,"-25,440433","-49,2359287",Ver foto,ver croqui
2442,CRI-063,"Rua Urbâno Lopes, 267 - Cristo Rei",Cristo Rei,"-25,4397402","-49,235859",Ver foto,ver croqui
2443,CRI-064,"Avenida Nossa Senhora da Penha, 370 - Cristo Rei",Cristo Rei,"-25,439578","-49,2346964",Ver foto,ver croqui
2444,CRI-065,"Rua Delegado Leopoldo Belczak, 140 - Cristo Rei",Cristo Rei,"-25,4391856","-49,2344469",Ver foto,ver croqui
2445,CRI-066,"Avenida Nossa Senhora da Penha, 325 - Cristo Rei",Cristo Rei,"-25,4392655","-49,2346857",Ver foto,ver croqui
2446,CRI-067,"Rua Delegado Leopoldo Belczak, 1 - Cristo Rei",Cristo Rei,"-25,4394399","-49,2358846",Ver foto,ver croqui
2447,CRI-068,"Rua Delegado Leopoldo Belczak, 62 - Cristo Rei",Cristo Rei,"-25,4393551","-49,2352811",Ver foto,ver croqui
2448,CRI-069,"Rua Delegado Leopoldo Belczak, 1 - Cristo Rei",Cristo Rei,"-25,4393527","-49,236016",Ver foto,ver croqui
2449,CRI-070,"Rua Urbâno Lopes, 214 - Cristo Rei",Cristo Rei,"-25,4391105","-49,2360724",Ver foto,ver croqui
2450,CRI-071,"Rua Urbâno Lopes, 214 - Cristo Rei",Cristo Rei,"-25,4390257","-49,236244",Ver foto,ver croqui
2451,CRI-072,"Rua João Dranka, 100 - Cristo Rei",Cristo Rei,"-25,4391178","-49,2367322",Ver foto,ver croqui
2452,CRI-073,"Rua João Dranka, 10 - Cristo Rei",Cristo Rei,"-25,4392413","-49,2371452",Ver foto,ver croqui
